Name,Gender,Kin?,BirthYear,DeathYear,BirthPlace,Smallest Birth Place,Birth State,Birth Country
? Alcock,F,N,,,,,,
? Behr,M,N,,,,,,
? Chambers,M,N,,,England,,,England
? Denny,M,N,,,,,,
? Foulger,F,Y,,,England,,,England
? Gros,M,N,,,,,,
? Hasentleuer,M,N,,,,,,
? Hummet,M,N,,,England,,,England
? Jesser,M,N,,,England,,,England
? Kettilby,M,N,,,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland
? Leef,M,N,,,,,,
? Lloyd (Female),F,N,,,England,,,England
? Lloyd (Male),M,N,,,England,,,England
? Martin,F,N,,,"Whitehaven, Cumbria, England",Whitehaven,Cumbria,England
? Mead,F,N,,,England,,,England
? Moody,M,N,,,,,,
? Morris,F,N,,,England,,,England
? Peill,M,N,,,Sweden,,,Sweden
? Penington,M,N,,,"Bristol, Bristol, England",Bristol,Bristol,England
? Pomeroy,M,N,,,"London, Greater London, England",London,Greater London,England
? Ralph,F,N,1744,1762,"London, Greater London, England",London,Greater London,England
? Robertson,M,N,,,,,,
? Shervell,M,N,,,England,,,England
? Spence,M,N,,,,,,
? Todd,F,N,,,,,,
? Viny,F,N,,,,,,
? Wood (Female),F,N,,,,,,
? Wood (Male),M,N,,,,,,
Aaron Franks,M,N,1692,1777,England,,,England
Abbot Upcher,M,N,1722,1770,"Sudbury, Suffolk, England",Sudbury,Suffolk,England
Abel James,M,N,1724,1790,,,,
Abraham Hunt,M,N,,,,,,
Académie Royale des Sciences,G,N,,,"Paris, Île-de-France, France",Paris,Île-de-France,France
Adolf Benzelius,M,N,1715,1775,"Uppsala, Sweden",Uppsala,,Sweden
Adrien-Louis de Bonnières de Sousastre,M,N,1735,1806,"Lille, Nord-Pas-de-Calais, France",Lille,Nord-Pas-de-Calais,France
Agatha Drummond,M,N,1711,1795,Scotland,,,Scotland
Albany Committee,G,N,,,"New York, America",,New York,America
Alexander Colden,M,N,1716,1774,"New York, America",,New York,America
Alexander Dalrymple,M,N,1737,1808,Newhailes Scotland,Newhailes,,Scotland
Alexander Dick,M,N,1703,1785,"Edinburgh, Scotland",Edinburgh,,Scotland
Alexander Garden,M,N,1730,1791,"Birse, Aberdeenshire, Scotland",Birse,Aberdeenshire,Scotland
Alexander Gordon,M,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Alexander Jacob,M,N,,1785,England,,,England
Alexander Lunan,M,N,,1770,,,,
Alexander McNutt and Associates,G,N,,,,,,
Alexander Small,M,N,1710,1794,Scotland,,,Scotland
Alexander Wilson,M,N,1714,1786,"St Andrews, Fife, Scotland",St Andrews,Fife,Scotland
Alexis-Janvier La Live de La Briche,M,N,1735,1785,France,,,France
Allen Bathurst,M,N,1684,1775,"London, Greater London, England",London,Greater London,England
Allen England,M,N,,,,,,
Amelia Evans,F,N,1744,,,,,
American Postmasters,G,N,,,,,,
Amos Strettell,M,N,1720,1780,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland
André Morellet,M,N,1727,1819,"Lyon, Rhône-Alpes, France",Lyon,Rhône-Alpes,France
Andrew Cheap,M,N,1734,1803,,,,
Andrew Millar,M,N,1705,1768,"Port Glasgow, Renfrewshire, Scotland",Port Glasgow,Renfrewshire,Scotland
Andrew Robeson,M,N,1752,1781,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Anna Mordaunt Shipley,F,N,,,England,,,England
Ann Clay,F,N,1723,1789,,,,
Anne Farrow,F,Y,1686,1771,,,,
Anne Johnson Clarke,F,Y,,1805,,,,
Ann Overall,F,N,,,England,,,England
Ann Penn,F,N,,1767,,,,
Anthony Armbruster,M,N,1717,1796,"Mannheim, Germany",Mannheim,,Germany
Anthony Benezet,M,N,1713,1784,"Saint-Quentin, Picardy, France",Saint-Quentin,Picardy,France
Anthony Stickney,M,Y,1748,1819,"Newburyport, Massachusetts, America",Newburyport,Massachusetts,America
Anthony Syddon,M,N,,,"Pennsylvania, America",,Pennsylvania,America
Anthony Tissington,M,N,,,"Derbyshire, England",,Derbyshire,England
Anthony Todd,M,N,1717,1798,"Frosterley, Durham, England",Frosterley,Durham,England
Archibald McGilchrist,M,N,,,"Glasgow, Scotland",Glasgow,,Scotland
Arthur Lee,M,N,1740,1792,"Westmoreland County, Virginia, America",Westmoreland County,Virginia,America
Associates of Dr. Bray,G,N,,,,,,
"Baynton, Wharton & Morgan",G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Benjamin Franklin,M,,1706,1790,"Boston, Massachusetts, America",Boston,Massachusetts,America
Benjamin Gale,M,N,1715,1790,"Jamaica, New York, America",Jamaica,New York,America
Benjamin Humphreys,M,N,,,,,,
Benjamin Kent,M,N,1708,1788,"Charlestown, Massachusetts, America",Charlestown,Massachusetts,America
Benjamin Rush,M,N,1746,1813,"Byberry, Pennsylvania, America",Byberry,Pennsylvania,America
Benjamin Waller,M,N,1716,1786,"King William County, Virginia, America",King William County,Virginia,America
Benjamin West,M,N,1738,1820,"Springfield, Pennsylvania, America",Springfield,Pennsylvania,America
Benjamin Wilson,M,N,1721,1788,"Leeds, West Yorkshire, England",Leeds,West Yorkshire,England
Bernard Ogden,M,N,1734,1779,"Sunderland, Tyne and Wear, England",Sunderland,Tyne and Wear,England
Board of Trade,G,N,,,"London, Greater London, England",London,Greater London,England
Browns & Collinson,G,N,,,,Boston,Massachusetts,America
Bucks County Assessors,G,N,,,"Bucks County, Pennsylvania, America",Bucks County,Pennsylvania,America
Cadwalader Evans,M,N,1716,1773,,,,
Cadwallader Colden,M,N,1689,1776,"Enniscorthy, Wexford, Ireland",Enniscorthy,Wexford,Ireland
Caffiéri l'Ainé,M,N,,,"Calais, Pas-de-Calais, France",Calais,Pas-de-Calais,France
Caleb Whitefoord,M,N,1734,1810,"Edinburgh, Scotland",Edinburgh,,Scotland
Capel Hanbury,M,N,1707,1765,,,,
Carlo Giuseppe Campi,M,N,,,"Milan, Italy",Milan,,Italy
Caroline Howe,F,N,1721,1814,,,,
Casper Krible,M,N,1701,1771,,,,
Catharine Ray Greene,F,N,1731,1794,"Block Island, Rhode Island, America",Block Island,Rhode Island,America
Catherine Apsley Bathurst,F,N,1689,1768,England,,,England
Catherine Meed,F,N,,,,,,
Charles Blunt,M,N,1731,1802,,,,
Charles Carroll,M,N,1723,1783,"Annapolis, Maryland, America",Annapolis,Maryland,America
Charles Dilly,M,N,1739,1807,"Southill, Bedfordshire, England",Southill,Bedfordshire,England
Charles Edwards,M,N,,,,,,
Charles Fourdrinier,M,N,,,,,,
Charles Garth,M,N,1734,1784,,,,
Charles-Guillaume-Frédéric Dumas,M,N,1721,1796,"Kloster Heilbronn, Ansbach, Germany",Kloster Heilbronn,Ansbach,Germany
Charles Hargrave,M,N,,,,,,
Charles Jackson,M,N,,,,,,
Charles Lee,M,N,1732,1782,"Chester, Cheshire, England",Chester,Cheshire,England
Charles Moore,M,N,1724,1801,,,,
Charles Morton,M,N,1716,1799,"Westmorland, England",,Westmorland,England
Charles Norris,M,N,1712,1766,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Charles Pearce,M,N,,,,,,
Charles Somerset Woodham,M,N,,,,,,
Charles Stanhope,M,N,1753,1816,"London, Greater London, England",London,Greater London,England
Charles Thomson,M,N,1729,1824,"Derry, Ireland",,Derry,Ireland
Charles Wilcox,M,N,,,,,,
Charles Willson Peale,M,N,1741,1827,"Queen Anne's County, Maryland, America",Queen Anne's County,Maryland,America
Christopher D'Oyly,M,N,1717,1795,"Banbury, Oxfordshire, England",Banbury,Oxfordshire,England
Colonial Agents,G,N,,,England,,,England
Colonial Proprietors,G,N,,,America,,,America
Committee of America Merchants,G,N,,,America,,,America
Committee of Boston Merchants,G,N,,,"Boston, Massachusetts, America",Boston,Massachusetts,America
Committee of Conference of Congress,G,N,,,America,,,America
Committee of Philadelphia Tradesmen,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Committee of Secret Correspondence,G,N,,,America,,,America
Committee of the Library Company of Philadelphia,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Committee of the Managers of the Pennsylvania Hospital,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Committee of the Managers of the Philadelphia Silk Filature,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Committee of the Town of Boston,G,N,,,"Boston, Massachusetts, America",Boston,Massachusetts,America
Comte de Lavagne,M,N,,,,,,
Continental Congress,G,N,,,America,,,America
Cornelius Haight,M,N,,,America,,,America
Cumberland County Committee of Correspondence,G,N,,,"Cumberland County, Pennsylvania, America",Cumberland County,Pennsylvania,America
Daniel Burton,M,N,,,,,,
Daniel Ludlow,M,N,1750,1813,"New York, America",,New York,America
Daniel Roberdeau,M,N,1727,1795,"St Kitts, West Indies",St Kitts,,West Indies
Daniel Wister,M,N,1738,1805,,,,
"David Barclay, Jr.",M,N,1729,1809,"London, Greater London, England",London,Greater London,England
David Barclay & Sons,G,N,,,"London, Greater London, England",London,Greater London,England
David Colden,M,N,1733,1784,America,,,America
David Deshler,M,N,,1792,,,,
David Edwards,M,N,,1760,England,,,England
David Finney,M,N,,1806,America,,,America
David Hall,M,N,1714,1772,"Edinburgh, Scotland",Edinburgh,,Scotland
David Hartley,M,N,1731,1813,"Bury St Edmunds, Suffolk, England",Bury St Edmunds,Suffolk,England
David Hume,M,N,1711,1776,"Edinburgh, Scotland",Edinburgh,,Scotland
David McCanaughy,M,N,,,"York, Pennsylvania, America",York,Pennsylvania,America
David Steuart Erskine,M,N,1742,1829,"Edinburgh, Scotland",Edinburgh,,Scotland
David Weatherby,M,N,,,England,,,England
David Williams,M,N,1738,1816,"Eglwysilan, Glamorganshire, Wales",Eglwysilan,Glamorganshire,Wales
Deborah Franklin,F,Y,1704,1774,,,,
Deborah Syddon,F,N,,,,,,
Dennys DeBerdt,M,N,1694,1770,,,,
Deputy Postmasters,G,N,,,America,,,
Directors of the Library Company of Philadelphia,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Dorothea Blunt,F,N,1733,1809,England,,,England
Ebenezer Hazard,M,N,1744,1817,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Ebenezer Kinnersley,M,N,1711,1778,"Gloucester, Gloucestershire, England",Gloucester,Gloucestershire,England
Edmé-Louis Daubenton,M,N,1732,1785,France,,,France
Edmund Burke,M,N,1729,1797,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland
"Edmund Quincy, Jr.",M,N,1726,1782,"Braintree, Massachusetts, America",Braintree,Massachusetts,America
"Edmund Quincy, Sr.",M,N,1703,1788,"Braintree, Massachusetts, America",Braintree,Massachusetts,America
Edward Bancroft,M,N,1744,1821,"Westfield, Massachusetts, America",Westfield,Massachusetts,America
Edward Bridgen,M,N,,1787,,,,
Edward Delaval,M,N,1729,1814,"Newburn, Northumberland, England",Newburn,Northumberland,England
Edward Dilly,M,N,1732,1779,"Southill, Bedfordshire, England",Southill,Bedfordshire,England
Edward Hughes,M,N,1720,1794,"Hertford, Hertfordshire, England",Hertford,Hertfordshire,England
Edward Nairne,M,N,1726,1806,"Sandwich, Kent, England",Sandwich,Kent,England
Edward Penington,M,N,1726,1796,"Bucks County, Pennsylvania, America",Bucks County,Pennsylvania,America
Edward Rowe Mores,M,N,1730,1778,"Tunstall, Kent, England",Tunstall,Kent,England
Edward Shippen,M,N,1703,1781,"Boston, Massachusetts, America",Boston,Massachusetts,America
Edward Tilghman,M,N,1713,1786,America,,,America
Eleanor Morris,F,N,,,,,,
Elias Boudinot,M,N,1740,1821,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Elizabeth Empson,F,N,,,,,,
Elizabeth Graeme,F,N,1737,1801,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Elizabeth Henckell,F,N,,1787,England,,,England
Elizabeth Henmarsh,F,N,,,,,,
Elizabeth Hubbart Partridge,F,Y,1728,1814,,,,
Elizabeth Montagu,F,N,1718,1800,"York, Yorkshire, England",York,Yorkshire,England
Elizabeth Shewell West,F,N,1741,1814,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Elizabeth Wilkes,F,N,,,,,,
Emanuel Mendes da Costa,M,N,1717,1791,"London, Greater London, England",London,Greater London,England
Ephraim Franklin Brown,M,Y,,,,,,
Erasmus Darwin,M,N,1731,1802,"Nottingham, Nottinghamshire, England",Nottingham,Nottinghamshire,England
Eyre Whalley,M,N,1704,1762,"Northamptonshire, England",,Northamptonshire,England
Ezra Stiles,M,N,1727,1795,"North Haven, Connecticut, America",North Haven,Connecticut,America
Ferdinand John Paris,M,N,,1759,"London, Greater London, England",London,Greater London,England
Francis Bernard,M,N,1712,1799,"Brightwell-cum-Sotwell, Berkshire, England",Brightwell-cum-Sotwell,Berkshire,England
Francis Blake,M,N,1708,1780,"Durham, Durham, England",Durham,Durham,England
Francis Dashwood,M,N,1708,1781,"London, Greater London, England",London,Greater London,England
Francis Eyre,M,N,1722,1797,,,,
Francis Hopkinson,M,N,1737,1791,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Francis Maseres,M,N,1731,1824,"London, Greater London, England",London,Greater London,England
François-Jean de Beauvoir,M,N,1734,1788,"Paris, Île-de-France, France",Paris,Île-de-France,France
François-Pierre de Séqueville,M,N,1725,1793,"Paris, Île-de-France, France",Paris,Île-de-France,France
François Rozier,M,N,1734,1793,"Lyon, Rhône-Alpes, France",Lyon,Rhône-Alpes,France
François Willem de Monchy,M,N,1749,1796,The Netherlands,,,The Netherlands
Franklin Gravoufueas,M,N,,,,,,
Frans van Lelyveld,M,N,,,The Netherlands,,,The Netherlands
Frederick North,M,N,1732,1792,"London, Greater London, England",London,Greater London,England
Frederick Shinkle,M,N,,,,,,
Frederik Borchard Lodewijk van Westerholt,M,N,1726,1775,The Netherlands,,,The Netherlands
Freeholders and Inhabitants of the Province of Pennsylvania,G,N,,,"Pennsylvania, America",,Pennsylvania,America
Freemen of Pennsylvania,G,N,,,"Pennsylvania, America",,Pennsylvania,America
Gabriel Antonio de Bourbon,M,N,1752,1788,"Naples, Italy",Naples,,Italy
George Aufrere,M,N,1715,1801,"London, Greater London, England",London,Greater London,England
George Baker,M,N,1722,1809,"Modbury, Devon, England",Modbury,Devon,England
George Bryan,M,N,1731,1791,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland
George Colebrooke,M,N,1729,1809,"Chilham, Kent, England",Chilham,Kent,England
George Croghan,M,N,,1782,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland
George Grenville,M,N,1712,1770,"Wotton, Buckinghamshire, England",Wotton,Buckinghamshire,England
George Maddison,M,N,1747,1783,"Allensford, Durham, England",Allensford,Durham,England
George Mercer,M,N,1733,1784,"Virginia, America",,Virginia,America
George Morgan,M,N,1743,1810,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
George Parker,M,N,1679,1764,"London, Greater London, England",London,Greater London,England
George Price,M,N,,,,,,
George Read,M,N,1733,1798,"North East, Cecil County, Maryland, America","North East, Cecil County",Maryland,America
George Ross,M,N,1730,1779,"New Castle, Delaware, America",New Castle,Delaware,America
George Taylor,M,N,1716,1781,Ireland,,,Ireland
George Walker,M,N,,,,,,
George Washington,M,N,1732,1799,"Westmoreland County, Virginia, America",Westmoreland County,Virginia,America
George Whatley,M,N,1709,1791,,,,
George Whitefield,M,N,1714,1770,"Gloucester, Gloucestershire, England",Gloucester,Gloucestershire,England
George Wythe,M,N,1726,1806,"Elizabeth City County, Virginia, America",Elizabeth City County,Virginia,America
Georgia Assembly,G,N,,,"Georgia, America",,Georgia,America
Georgia Assembly Committee of Correspondence,G,N,,,"Georgia, America",,Georgia,America
Georgia Commons House Committee of Correspondence,G,N,,,"Georgia, America",,Georgia,America
Georgiana Shipley Hare-Naylor,F,N,1755,1806,England,,,England
Giambatista Beccaria,M,N,1716,1781,"Mondovi, Italy",Mondovi,,Italy
Giambattista Toderini,M,N,1728,1799,"Venice, Italy",Venice,,Italy
Giovanni Baptista Carburi,M,N,,1801,"Cephalonia, Greece",Cephalonia,,Greece
"Goldney, Smith and Co.",G,N,,,,,,
Gottfried Achenwall,M,N,,,,,,
Gowin Knight,M,N,1713,1772,"Corringham, Essex, England",Corringham,Essex,England
Grace Williams,F,Y,1718,1790,America,,,America
Granville Sharp,M,N,1735,1813,"Durham, Durham, England",Durham,Durham,England
Grey Cooper,M,N,1726,1801,"Newcastle upon Tyne, Tyne and Wear, England",Newcastle upon Tyne,Tyne and Wear,England
Grey Elliott,M,N,,1787,,,,
Griffith Jones,M,N,1722,1786,"London, Greater London, England",London,Greater London,England
Gunning Bedford,M,N,1719,1802,America,,,America
Gurdon Saltonstall,M,N,1708,1785,"Connecticut, America",,Connecticut,America
Guy Claude,M,N,1718,1789,France,,,France
Hallett Hazard & Blackwell,G,N,,,,,,
Hannah Parker,F,N,,,,,,
Hannah Smith,F,N,1720,1761,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Hannah Walker,F,Y,1724,,,,,
Harvard College,G,N,,,"Cambridge, Massachusetts, America",Cambridge,Massachusetts,America
Heinrich Ehrenfried Luther,M,N,,,Germany,,,Germany
Henry Bathurst,M,N,1714,1794,England,,,England
Henry Bouquet,M,N,1719,1765,"Rolle, Pays de Vaud, Switzerland",Rolle,Pays de Vaud,Switzerland
Henry Cavendish,M,N,1731,1810,"Nice, Provence-Alpes-Côte d'Azur, France",Nice,Provence-Alpes-Côte d'Azur,France
Henry Dagge,M,N,,1795,,,,
Henry Elwes,M,N,,,,,,
Henry Home,M,N,1696,1782,"Kames, Berwickshire, Scotland",Kames,Berwickshire,Scotland
Henry Hope,M,N,1740,,"Boston, Massachusetts, America",Boston,Massachusetts,America
Henry Jackson,M,N,1721,1801,England,,,England
Henry Keppele,M,N,,,,,,
Henry Marchant,M,N,1741,1796,America,,,America
Henry Potts,M,N,,1768,,,,
Henry Sampson Woodfall,M,N,1739,1805,"London, Greater London, England",London,Greater London,England
Henry Tucker,M,N,1713,1787,Bermuda,,,Bermuda
Henry Walker,M,Y,1756,,"Westbury, Northamptonshire, England",Westbury,Northamptonshire,England
Henry Wilmot,M,N,1709,1794,England,,,England
Henton Brown,M,N,1698,1775,"London, Greater London, England",London,Greater London,England
Hillary and Scot,G,N,,,,,,
Horace-Bénédict de Saussure,M,N,1740,1799,"Conches, Switzerland",Conches,,Switzerland
Horatio Gates,M,N,1728,1806,"Maldon, Essex, England",Maldon,Essex,England
