Name,Gender,Kin?,BirthYear,DeathYear,BirthPlace,Smallest Birth Place,Birth State,Birth Country
Paul-Pierre le Mercier de la Rivière,M,N,1720,1793,France,,,France
Paul Wentworth,M,N,,1793,,,,
Pennsylvania Assembly,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Pennsylvania Assembly Committee,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Pennsylvania Assembly Committee of Accounts,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Pennsylvania Assembly Committee of Correspondence,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Pennsylvania Committee of Safety,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Pennsylvania Delegates in Congress,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Penuel Bowen,M,N,,,"Woodstock, Connecticut, America",Woodstock,Connecticut,America
Peter Burdett,M,N,,1793,"Derby, Derbyshire, England",Derby,Derbyshire,England
Peter Collinson,M,N,1694,1768,"London, Greater London, England",London,Greater London,England
Peter Franklin,M,Y,1692,1766,"Boston, Massachusetts, America",Boston,Massachusetts,America
Peter Hasenclever,M,N,1716,1793,"Remscheid, Germany",Remscheid,,Germany
Peter Hinrich Tesdorpf,M,N,1712,1778,Germany,,,Germany
Peter Schuyler,M,N,1710,1762,America,,,America
Peter Templeman,M,N,1711,1769,"Dorchester, Dorset, England",Dorchester,Dorset,England
Peter Timothy,M,N,1720,1781,"South Carolina, America",,South Carolina,America
Peter Van Brugh Livingston,M,N,1710,1792,"Albany, New York, America",Albany,New York,America
Petitioners to the House of Lords Against the Boston Port Bill,G,N,,,America,,,America
Petitioners to the House of Lords against the Massachusetts Government and Administration of Justice Bills,G,N,,,America,,,America
Philadelphia Committee of Inspection and Observation,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Philadelphia Linen Manufactory,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Philadelphia Merchants,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Philip Ludwell,M,N,1716,1767,"Green Spring, Virginia, America",Green Spring,Virginia,America
Philip Mazzei,M,N,1730,1816,"Poggio-a-Caino, Tuscany, Italy",Poggio-a-Caino,Tuscany,Italy
Philip Schuyler,M,N,1733,1805,"Albany, New York, America",Albany,New York,America
Philip Syng,M,N,1703,1789,"Cork, Munster, Ireland",Cork,Munster,Ireland
Pierre Samuel du Pont de Nemours,M,N,1739,1817,"Paris, Île-de-France, France",Paris,Île-de-France,France
Pieter van Musschenbroek,M,N,1692,1761,"Leyden, The Netherlands",Leyden,,The Netherlands
Pomeroys & Hodgkin,G,N,,,"London, Greater London, England",London,Greater London,England
Postmasters General,G,N,,,America,,,America
Printer of the Citizen,G,N,,,"London, Greater London, England",London,Greater London,England
Printer of the Gazetteer,G,N,,,"London, Greater London, England",London,Greater London,England
Printer of the London Chronicle,G,N,,,"London, Greater London, England",London,Greater London,England
Printer of the Public Advertiser,G,N,,,"London, Greater London, England",London,Greater London,England
Printer of the Public Ledger,G,N,,,"London, Greater London, England",London,Greater London,England
Privy Council,G,N,,,"London, Greater London, England",London,Greater London,England
Privy Council Committee,G,N,,,"London, Greater London, England",London,Greater London,England
Provincial Commissioners,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Purfleet Committee,G,N,,,"London, Greater London, England",London,Greater London,England
R. Hippisley,M,N,,,"Somerset, England",,Somerset,England
Rebecca Haydock Garrigues,F,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Rhode Island Assembly Committee,G,N,,,"Rhode Island, America",,Rhode Island,America
Richard Bache,M,Y,1737,1811,"Settle, Yorkshire, England",Settle,Yorkshire,England
Richard Dawson,M,N,,,,,,
Richard Henry Alexander Bennet,M,N,1742,1814,"Essex, England",Essex,,England
Richard Howe,M,N,1726,1799,"London, Greater London, England",London,Greater London,England
Richard Huck,M,N,1720,1785,"Westmorland, England",,Westmorland,England
Richard Jackson,M,N,1721,1787,"London, Greater London, England",London,Greater London,England
Richard Neave,M,N,,,,,,
Richard Nicholls Colden,M,N,,,,,,
Richard Oliver,M,N,1735,1784,"Antigua, West Indies",,Antiguia,West Indies
Richard Partridge,M,N,1681,1759,"Portsmouth, New Hampshire, America",Portsmouth,New Hampshire,America
Richard Penn,M,N,1706,1771,"Bristol, Bristol, England",Bristol,Bristol,England
Richard Peters,M,N,1704,1776,"Liverpool, Merseyside, England",Liverpool,Merseyside,England
Richard Price,M,N,1723,1791,"Llangeinor, Wales, England",Llangeinor,Wales,England
Richard Quinton,M,N,,,"Wellingborough, Northamptonshire, England",Wellingborough,Northamptonshire,England
Richard Stockton,M,N,1730,1781,"Princeton, New Jersey, America",Princeton,New Jersey,America
Richard Walpole,M,N,1728,1798,England,,,England
Richard Wheeler,M,N,,,,,,
Richard Wister,M,N,1727,1784,"New Jersey, America",,New Jersey,America
Richard Woodward,M,N,1726,1794,"Grimsbury, Gloucestershire, England",Grimsbury,Gloucestershire,England
Robert Alexander,M,N,,1774,"Edinburgh, Scotland",Edinburgh,,Scotland
Robert Charles,M,N,,,England,,,England
Robert Crafton,M,N,,,,,,
Robert Hare,M,N,1752,1812,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Robert Molleson,M,N,,,,,,
Robert Morris,M,N,1734,1806,"Liverpool, Merseyside, England",Liverpool,Merseyside,England
Robert Rogers,M,N,1731,1795,"Methuen, Massachusetts, America",Methuen,Massachusetts,America
Robert Strettell Jones,M,N,1745,1792,,,,
Robert Towers,M,N,,1779,England,,,England
Robert Trevor,M,N,,1785,,,,
Robert Willock,M,N,,,"London, Greater London, England",London,Greater London,England
Rosamund Sargent,F,N,1722,1792,,,,
Royal Society,G,N,,,"London, Greater London, England",London,Greater London,England
Rudolph Erich Raspe,M,N,1737,1794,"Hanover, Germany",Hanover,,Germany
Samuel Adams,M,N,1722,1803,"Boston, Massachusetts, America",Boston,Massachusetts,America
Samuel Chase,M,N,1741,1811,"Somerset County, Maryland, America",Somerset County,Maryland,America
Samuel Cooper,M,N,1725,1783,"Boston, Massachusetts, America",Boston,Massachusetts,America
Samuel Danforth,M,N,1696,1777,"Dorchester, Massachusetts, America",Dorchester,Massachusetts,America
Samuel Eckerling,M,N,,1781,"Strasburg, Germany",Strasburg,,Germany
Samuel Engs,M,N,,,,,,
Samuel F. Parker,M,N,1745,1779,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Samuel Fayerweather,M,N,1725,1781,"Boston, Massachusetts, America",Boston,Massachusetts,America
Samuel Finley,M,N,1715,1766,"Armagh, Ireland",,Armagh,Ireland
Samuel Franklin,M,Y,1721,1775,,,,
Samuel Hazard,M,N,1714,1758,,,,
Samuel Johnson,M,N,1696,1772,"Guilford, Connecticut, America",Guilford,Connecticut,America
Samuel Leeds,M,N,,1773,,,,
Samuel Mather,M,N,1706,1785,"Boston, Massachusetts, America",Boston,Massachusetts,America
Samuel Mead,M,N,,1776,England,,,England
Samuel Noble,M,N,,,"Burlington, New Jersey, America",Burlington,New Jersey,America
Samuel Parker,M,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Samuel Potts,M,N,,,,,,
Samuel Preston Moore,M,N,1710,1785,,,,
"Samuel Rhoads, Jr.",M,N,1740,1784,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
"Samuel Rhoads, Sr.",M,N,1711,1784,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Samuel Salt,M,N,,,England,,,England
Samuel Smith,M,N,,,,,,
Samuel Soumain,M,N,1718,1765,,,,
Samuel Vaughan,M,N,,1802,England,,,England
Samuel Ward,M,N,1725,1776,"Newport, Rhode Island, America",Newport,Rhode Island,America
Samuel Wharton,M,N,1732,1800,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Sarah Broughton,F,N,,,,,,
Sarah Drury,F,N,,,,,,
Sarah Franklin Bache,F,Y,1743,1808,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Sargent Aufrere & Co.,G,N,,,"London, Greater London, England",London,Greater London,England
Secret Committee,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Selectmen of Boston,G,N,,,"Boston, Massachusetts, America",Boston,Massachusetts,America
Seth Paddack,M,Y,1741,,"Nantucket, Massachusetts, America",Nantucket,Massachusetts,America
Silas Deane,M,N,1737,1789,"Groton, Connecticut, America",Groton,Connecticut,America
"Smith, Wright, & Gray",G,N,,,"London, Greater London, England",London,Greater London,England
Society of the Arts,G,N,,,"London, Greater London, England",London,Greater London,England
Solomon Williams,M,N,1774,1776,"Hatfield, Massachusetts, America",Hatfield,Massachusetts,America
Speaker of the Pennsylvania Assembly,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Speakers of the Colonial Assemblies,G,N,,,America,,,America
Springett Penn,M,N,1739,1766,,,,
Stephen Cottrell,M,N,1738,1818,England,,,England
Stephen Crane,M,N,1709,1780,"Elizabeth, New Jersey, America",Elizabeth,New Jersey,America
Susannah Jennings,F,N,1725,1802,England,,,England
The Boston Gazette,G,N,,,"Boston, Massachusetts, America",,,
Theodore Forbes Lieth,M,N,1746,1819,"Aberdeenshire, Scotland",,Aberdeenshire,Scotland
Theodorus Swaine Drage,M,N,1712,1774,"London, Greater London, England",London,Greater London,England
Theophylact Bache,M,N,1734,1807,"Settle, Yorkshire, England",Settle,Yorkshire,England
The Pennsylvania Gazette,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Thomas Becket,M,N,,,,,,
Thomas Birch,M,N,1705,1766,"London, Greater London, England",London,Greater London,England
Thomas Bond,M,N,1713,1784,,,,
Thomas Bromfield,M,N,1733,1816,"Boston, Massachusetts, America",Boston,Massachusetts,America
Thomas Clifford,M,N,1722,1793,"Bucks County, Pennsylvania, America",Bucks County,Pennsylvania,America
Thomas Collinson,M,N,1726,1803,England,,,England
"Thomas Coombe, Jr.",M,N,1747,1822,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
"Thomas Coombe, Sr.",M,N,1721,1799,,,,
Thomas Crowley,M,N,,1787,England,,,England
Thomas Cumming,M,N,,1774,,,,
Thomas Cushing,M,N,1725,1788,"Boston, Massachusetts, America",Boston,Massachusetts,America
Thomas Fitzmaurice,M,N,1742,1793,England,,,England
Thomas Foulger,M,Y,,,"Illington, Norfolk, England",Illington,Norfolk,England
Thomas Foxcroft,M,N,,,,,,
Thomas-François Dalibard,M,N,1709,1799,"Crannes, France",Crannes,,France
Thomas Franklin,M,Y,,,England,,,England
Thomas Gilpin,M,N,1727,1778,"Cecil County, Maryland, America",Cecil County,Maryland,America
Thomas Gordon,M,N,1712,1772,Scotland,,,Scotland
Thomas Holme,M,N,,,"Wellingborough, Northamptonshire, England",Wellingborough,Northamptonshire,England
Thomas Hubbard,M,N,1702,1773,"Boston, Massachusetts, America",Boston,Massachusetts,America
Thomas Hutchinson,M,N,1711,1780,"Boston, Massachusetts, America",Boston,Massachusetts,America
Thomas Leech,M,N,1686,1762,,,,
Thomas Life,M,N,,,,,,
Thomas Livezey,M,N,,1790,,,,
Thomas Lloyd,M,N,,,"Virginia, America",,Virginia,America
Thomas Mifflin,M,N,1744,1800,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Thomas Moffatt,M,N,1702,1787,Scotland,,,Scotland
Thomas Mumford,M,N,1728,1799,America,,,America
Thomas O'Gorman,M,N,1732,1809,"Castletown, County Clare, Ireland",Castletown,County Clare,Ireland
Thomas Osborne,M,N,1704,1767,"London, Greater London, England",London,Greater London,England
Thomas Paine,M,N,1737,1809,"Thetford, Norfolk, England",Thetford,Norfolk,England
Thomas Penington,M,N,,,,,,
Thomas Penn,M,N,1702,1775,"London, Greater London, England",London,Greater London,England
Thomas Percival,M,N,1740,1804,"Warrington, Lancashire, England",Warrington,Lancashire,England
Thomas Pitt,M,N,1737,1793,"Boconnoc, Cornwall, England",Boconnoc,Cornwall,England
Thomas Potts,M,N,1735,1785,"Colebrookdale, Berks County, Pennsylvania, America",Colebrookedale,Pennsylvania,America
Thomas Pownall,M,N,1722,1805,"Lincoln, Lincolnshire, England",Lincoln,Lincolnshire,England
Thomas Randall & Son,G,N,,,"New York City, New York, America",New York City,New York,America
Thomas Ringgold,M,N,1715,1772,"Chestertown, Maryland, America",Chestertown,Maryland,America
Thomas Robinson Grantham,M,N,1695,1770,England,,,England
Thomas Ronayne,M,N,,1800,Ireland,,,Ireland
Thomas Taunton,M,N,,,"London, Greater London, England",London,Greater London,England
Thomas Vernon,M,N,1718,1784,America,,,America
Thomas Viny,M,N,,,England,,,England
Thomas Walker,M,Y,,,England,,,England
Thomas Walpole,M,N,1727,1803,England,,,England
Thomas Wharton,M,N,1731,1782,America,,,America
Thomas Whately,M,N,1728,1772,"Epsom, Surrey, England",Epsom,Surrey,England
Thomas Willing,M,N,1731,1821,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Thomas Wolrich,M,N,,1791,,,,
Timothy Folger,M,Y,1732,,"Nantucket, Massachusetts, America",Nantucket,Massachusetts,America
Timothy Goolding,M,N,,,,,,
Timothy Horsfield,M,N,1708,1773,"Liverpool, Merseyside, England",Liverpool,Merseyside,England
Timothy Lane,M,N,1734,1817,"London, Greater London, England",London,Greater London,England
Trevor Newland,M,N,,,England,,,England
Trustees of the Burlington Free School,G,N,,,"Burlington, New Jersey, America",Burlington,New Jersey,America
Trustees of the General Loan Office,G,N,,,,,,
Tuckwell and Cooper,G,N,,,,,,
Tuthill Hubbart,M,N,1720,1808,,,,
University of Saint Andrews,G,N,,,,,,
unspecified,U,,,,,,,
Victor-Amé-Philippe Ferrero de Fiesque,M,N,,,Spain,,,Spain
Virginia Delegates to Congress,G,N,,,"Virginia, America",,Virginia,America
William Alexander,M,N,1726,1783,"New York City, New York, America",New York City,New York,America
William Allen,M,N,1704,1780,,,,
William Ansell,M,N,,,England,,,England
William Bean,M,N,,,,,,
William Bollan,M,N,1710,1776,England,,,England
William Bowden,M,N,,1780,,,,
William Bradford,M,N,1722,1791,"New York City, New York, America",New York City,New York,America
William Browne,M,N,1692,1774,England,,,England
William Brownrigg,M,N,1711,1800,"High Close Hall, Cumberland, England",High Close Hall,Cumberland,England
William Canton,M,N,,,,,,
William Coleman,M,N,1704,1769,,,,
William Cooper,M,N,1721,1809,"Boston, Massachusetts, America",Boston,Massachusetts,America
William Cullen,M,N,1710,1790,"Hamilton, Lanarkshire, Scotland",Hamilton,Lanarkshire,Scotland
William Curtis,M,N,1746,1799,,,,
William Deane,M,N,,1775,,,,
William Denny,M,N,1709,1765,"Hertfordshire, England",,Hertfordshire,England
William Dillwyn,M,N,1743,1824,America,,,America
William Dunlap,M,N,,1799,,,,
William Forbes,M,N,,,,,,
William Franklin,M,Y,1731,1813,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
William Frizzel,M,N,,,,,,
William Goddard,M,N,1740,1817,"New London, Connecticut, America",New London,Connecticut,America
William Govett,M,N,1736,1817,,,,
William Greene,M,N,1731,1809,"Warwick, Rhode Island, America",Warwick,Rhode Island,America
William Hall,M,N,1751,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
William Heberden,M,N,1710,1801,"London, Greater London, England",London,Greater London,England
William Henly,M,N,,1779,England,,,England
William Hewson,M,N,1739,1774,"Hexham, Northumberland, England",Hexham,Northumberland,England
William Hick,M,N,,,America,,,America
William Hunter (? - 1761),M,N,,1761,,,,
William Hunter (1718-1783),M,N,1718,1783,"East Kilbride, Lanarkshire, Scotland",East Kilbride,Lanarkshire,Scotland
William Johnson,M,N,1715,1774,"Smithtown, County Meath, Ireland",Smithtown,County Meath,Ireland
William Knox,M,N,1732,1810,"Monaghan, Ireland",Monaghan,,Ireland
William Lee,M,N,1739,1795,"Westmoreland County, Virginia, America",Westmoreland County,Virginia,America
William Legge,M,N,1731,1801,England,,,England
William Limner,M,N,,,England,,,England
William Logan,M,N,1718,1776,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
William Marshall,M,N,1740,1802,Scotland,,,Scotland
William Masters,M,N,1735,1788,,,,
William Mickle,M,N,1735,1788,"Langholm, Dumfriesshire, Scotland",Langholm,Dumfriesshire,Scotland
William Molleson,M,N,,,,,,
William Murdock,M,N,1710,1769,"Maryland, America",,Maryland,America
William Neate,M,N,,1775,England,,,England
William Outram,M,N,,,,,,
William Parsons,M,N,,,England,,,England
William Ponsonby,M,N,1704,1793,Ireland,,,Ireland
William Robertson,M,N,1721,1793,"Borthwick, Midlothian, Scotland",Borthwick,Midlothian,Scotland
William Saunders,M,N,1743,1817,"Banff, Scotland",Banff,,Scotland
"William Shippen, Jr.",M,N,1736,1808,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
William Small,M,N,1734,1775,"Carmyllie, Scotland",Carmyllie,,Scotland
William Smith,M,N,1727,1803,"Aberdeen, Scotland",Aberdeen,,Scotland
William Strahan,M,N,1715,1785,"Edinburgh, Scotland",Edinburgh,,Scotland
William Sturgeon,M,N,1722,1770,England,,,England
William Temple Franklin,M,Y,1760,1823,"London, Greater London, England",London,Greater London,England
William Thomson,M,N,,1802,England,,,England
William Trent,M,N,1715,1787,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
William Watson,M,N,1715,1787,"London, Greater London, England",London,Greater London,England
William Whately,M,N,,,"London, Greater London, England",London,Greater London,England
York County Committee,G,N,,,"York, Pennsylvania, America",York,Pennsylvania,America
Zachariah Hood,M,N,,,"Maryland, America",,Maryland,America
